"timestamp_utc","run_name","namespace","stage_index","stage_users","stage_duration_min","service","deployment_spec_replicas","deployment_status_replicas","deployment_ready_replicas","deployment_available_replicas","deployment_updated_replicas","hpa_name","hpa_current_replicas","hpa_desired_replicas","hpa_min_replicas","hpa_max_replicas"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:15","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:27","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:39","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:32:53","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:05","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:17","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:29","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","adservice","3","3","3","3","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:45","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","adservice","4","4","3","3","4","keda-hpa-adservice-predicted-replicas-scaler","3","4","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","emailservice","2","2","2","2","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","frontend","5","5","5","5","5","keda-hpa-frontend-predicted-replicas-scaler","5","5","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","paymentservice","2","2","2","2","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","productcatalogservice","2","2","2","2","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","recommendationservice","3","3","3","3","3","keda-hpa-recommendationservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:33:57","ab_20260621_022706_A_proposed","default","2","90","4","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:34:09","ab_20260621_022706_A_proposed","default","2","90","4","adservice","4","4","3","3","4","keda-hpa-adservice-predicted-replicas-scaler","3","4","1","10"
"2026-06-20 23:34:09","ab_20260621_022706_A_proposed","default","2","90","4","cartservice","2","2","2","2","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:34:09","ab_20260621_022706_A_proposed","default","2","90","4","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:34:09","ab_20260621_022706_A_proposed","default","2","90","4","currencyservice","3","3","3","3","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
